Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_Micro-Fit_3.0_43650-0224_1x02-1MP_P3.00mm_Vertical,1,Battery_Cell,
"C1, C38, C39, C42, C5",0603,5,2.2uF,
"C10, C13, C8, C9",0603,4,100nF,C6715111
"C100, C101, C102, C103, C17, C22, C26, C28, C33, C35, C36, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0603,67,1uF,
"C104, C105, C15, C18, C23, C29, C34, C40, C43",0603,9,100nF,
"C11, C12, C6, C7",0603,4,1uF,C559769
"C16, C19, C20, C21, C27, C30, C31, C32",1206,8,22uF,
"C2, C3, C41",1206,3,10uF,
C24,0603,1,22p,
C25,0603,1,x,
C37,0603,1,100n,
C4,0603,1,47nF,
D1,0603,1,Orange,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,60,WS2812B,
D2,D_SOD-323,1,D_Zener,
D3,SOT-23,1,D_Schottky,C2135
J1,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,10k NTC,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C393939
"J3, J4, J5, J6, J7, J8",JST_XH_B1B-XH-AM_1x01_P2.50mm_Vertical,6,1,
L1,L_Bourns_SRP5030T,1,2.2u,
"L2, L3",L_Bourns_SRP7028A_7.3x6.6mm,2,1uH,
L4,L_Pulse_PA5402,1,4.7uH,
"Q1, Q2, Q3, Q4",PowerPAK_SO-8,4,Q_PMOS,C554002
"R1, R40, R41, R44, R48, R5",0603,6,10k,
"R10, R43, R8",0603,3,49.9k,
"R11, R12",0603,2,1k,C22548
"R13, R45, R46, R47, R51",0603,5,4.7k,
"R14, R15, R16, R17",0603,4,0 Ohm,C95177
R18,0603,1,51k,
R19,0603,1,51,
R2,0603,1,4.32k,
"R20, R34",0603,2,240k,
"R21, R31",0603,2,750k,
R22,0603,1,150k,
"R23, R36",0603,2,62k,
"R24, R37",0603,2,300k,
"R25, R30, R32, R39",0603,4,91k,
"R26, R28, R35, R38",0603,4,100k,
R27,0603,1,20k,
"R29, R50, R52, R6",0603,4,0 Ohm,
R3,0603,1,21k,
R33,0603,1,732k,
R4,0603,1,120,
R42,0603,1,115k,
R49,0603,1,100,
R7,0603,1,10k,C161787
U1,WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,1,BQ25303JRTER,
U10,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16,
U11,DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm,1,CAP1296-1-AIA-TR,
U12,SOT-563,1,SN74LVC1T45DRL,
U13,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TMP1075DSG,
U2,Texas_DRT-3,1,TPD2EUSB30,C94934
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,1,CYPD3177-24LQ,
"U4, U7",IC_LM73100RPWR,2,LM73100RPWR,
U5,VREG_TPS51386RJNR,1,TPS51385,
U6,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,1,TPS61022,
U8,SOT-23-5,1,TLV77333PDBVR,C32445874
U9,SOT-23-6,1,LMR50410,
